state,crop,crop_year,yield_t_per_ha,season,split
Gujarat,Soybean,2024,1.25,Kharif,train
Punjab,Potato,2016,18.76,Rabi,train
Uttar Pradesh,Wheat,2025,3.92,Rabi,train
West Bengal,Maize,2024,3.67,Kharif,train
West Bengal,Onion,2018,17.66,Rabi,train
West Bengal,Mustard,2015,1.21,Rabi,train
Uttar Pradesh,Gram,2017,0.98,Rabi,train
Uttar Pradesh,Onion,2022,15.39,Rabi,train
West Bengal,Rice,2018,2.48,Kharif,train
Punjab,Tomato,2018,26.64,Rabi,train
Tamil Nadu,Jowar,2020,0.88,Kharif,train
Tamil Nadu,Onion,2021,15.15,Rabi,train
Gujarat,Potato,2019,25.0,Rabi,train
Haryana,Onion,2020,19.75,Rabi,train
West Bengal,Sugarcane,2015,82.09,Rabi,train
Gujarat,Gram,2019,1.17,Rabi,train
Andhra Pradesh,Banana,2024,38.27,Rabi,train
Tamil Nadu,Bajra,2022,1.32,Kharif,train
Karnataka,Banana,2020,34.63,Rabi,train
Maharashtra,Onion,2025,18.58,Rabi,train
Uttar Pradesh,Soybean,2018,0.9,Kharif,train
Uttar Pradesh,Gram,2015,1.18,Rabi,train
Andhra Pradesh,Mustard,2024,1.12,Rabi,train
Andhra Pradesh,Rice,2021,2.51,Kharif,train
Andhra Pradesh,Sugarcane,2016,81.6,Rabi,train
Bihar,Cotton,2020,0.49,Kharif,train
Madhya Pradesh,Mustard,2021,1.43,Rabi,train
Bihar,Maize,2025,3.66,Kharif,train
Maharashtra,Sugarcane,2024,56.05,Rabi,train
Bihar,Mustard,2017,1.47,Rabi,train
Haryana,Tomato,2015,29.34,Rabi,train
Madhya Pradesh,Cotton,2015,0.53,Kharif,train
Gujarat,Bajra,2020,1.42,Kharif,train
Bihar,Sugarcane,2024,64.38,Rabi,train
Madhya Pradesh,Jowar,2015,0.91,Kharif,train
Haryana,Gram,2023,1.31,Rabi,train
Tamil Nadu,Sugarcane,2021,80.44,Rabi,train
Maharashtra,Onion,2022,17.33,Rabi,train
Karnataka,Soybean,2017,0.94,Kharif,train
Punjab,Tomato,2019,20.61,Rabi,train
Punjab,Jowar,2022,0.94,Kharif,train
Bihar,Potato,2021,18.86,Rabi,train
Rajasthan,Jowar,2021,1.08,Kharif,train
Andhra Pradesh,Potato,2016,21.04,Rabi,train
Gujarat,Potato,2020,23.11,Rabi,train
Karnataka,Bajra,2016,1.53,Kharif,train
Rajasthan,Banana,2018,34.1,Rabi,train
Andhra Pradesh,Bajra,2024,1.51,Kharif,train
Andhra Pradesh,Wheat,2019,3.78,Rabi,train
Haryana,Gram,2025,1.3,Rabi,train
Andhra Pradesh,Jowar,2019,1.01,Kharif,train
West Bengal,Gram,2019,1.21,Rabi,train
Andhra Pradesh,Maize,2019,2.59,Kharif,train
Bihar,Gram,2021,1.29,Rabi,train
Karnataka,Bajra,2022,1.51,Kharif,train
Karnataka,Jowar,2018,1.14,Kharif,train
Maharashtra,Jowar,2017,1.1,Kharif,train
Rajasthan,Cotton,2016,0.6,Kharif,train
Gujarat,Gram,2021,0.92,Rabi,train
Madhya Pradesh,Banana,2019,31.71,Rabi,train
Uttar Pradesh,Maize,2017,2.65,Kharif,train
Tamil Nadu,Rice,2024,2.57,Kharif,train
Haryana,Bajra,2015,1.27,Kharif,train
Madhya Pradesh,Bajra,2025,1.2,Kharif,train
Uttar Pradesh,Maize,2016,3.66,Kharif,train
Maharashtra,Tomato,2024,25.11,Rabi,train
Tamil Nadu,Potato,2025,20.03,Rabi,train
Haryana,Onion,2024,17.22,Rabi,train
Haryana,Sugarcane,2018,67.24,Rabi,train
