crop,temperature,rainfall,soil,ph,season,how_to_grow,split
watermelon,24-30°C,400-600 mm,"Sandy loam, warm and well-drained",6.0-7.0,Summer (Jan-Mar sowing),Sow 3-4 seeds/pit at 2.5x1 m. Thin to 2 vines. Cut water during ripening for sweetness. Ripe when tendril near fruit dries; dull thump sound.,train
maize,21-30°C,500-800 mm,"Deep fertile loam, well-drained",5.5-7.5,"Kharif, Rabi and spring",Sow 20 kg/ha at 60x20 cm. N in 3 splits — critical at knee-high & tasseling. Never miss irrigation at silking. Harvest when husks dry.,train
coffee,15-28°C,1500-2500 mm,Deep friable loam rich in humus,6.0-6.5,Plant with monsoon; needs shade,Grow under 50% shade. Plant 2.5x2.5 m (Arabica). Blossom irrigation in March if rains fail. Pick only red-ripe cherries. Prune after harvest.,train
pomegranate,25-35°C,500-800 mm (semi-arid best),"Deep loamy, tolerates slight salinity",6.5-7.5,Plant with monsoon,Plant 5x3 m. Choose one bahar (flower season) and stress-induce it. Drip irrigation ideal. Bag fruits against borer. Harvest at yellowish-red rind.,train
cassava,25-32°C,1000-1500 mm,"Sandy loam, deep and friable",5.5-6.5,Start of rainy season,Plant 20 cm stem cuttings at 90x90 cm. Weed for first 3 months. Avoid waterlogging. Harvest tubers at 8-11 months.,train
cauliflower,15-20°C,400-500 mm,Rich loam with high organic matter,6.0-7.0,Winter; variety timing critical,Transplant 25-30 day seedlings at 45x45 cm. Apply borax 10 kg/ha to prevent hollow stem. Tie leaves to blanch curds. Harvest compact white curds.,train
peanut,25-32°C,500-1000 mm,Light sandy loam with calcium,6.0-7.0,Kharif (Jun-Jul),Sow 100-120 kg pods/ha at 30x10 cm. Apply gypsum 250 kg/ha at flowering for pod fill. Earth up at pegging. Harvest when inner shell darkens.,train
almond,15-30°C,500-750 mm,"Deep, well-drained loamy soil",6.0-7.5,Planted in winter (Dec-Jan); needs chilling hours,Plant grafted saplings 6m apart. Needs cross-pollination — plant 2 varieties. Irrigate every 10 days in summer. Harvest when hulls split (Aug-Sep).,train
tomato,20-27°C,600-1250 mm,Well-drained loam rich in organic matter,6.0-7.0,Year-round except peak summer/frost,Transplant 25-30 day seedlings 60x45 cm. Stake plants. Avoid overhead watering (blight). Calcium prevents blossom-end rot. Pick at breaker stage.,train
cotton,21-30°C,500-1000 mm,Deep black cotton soil (regur),6.0-8.0,Kharif (Apr-May sowing),Sow with monsoon at 90x60 cm. Thin to 1 plant/hill. Monitor bollworm weekly with pheromone traps. Pick clean dry cotton in 3-4 rounds.,train
