class_name,crop,disease,treatment_html,cnn_scannable,split
Soybean___healthy,Soybean,healthy," <b>Crop</b>: Soyabean <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Apple___Apple_scab,Apple,Apple scab," <b>Crop</b>: Apple <br/>Disease: Apple Scab<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Apple scab overwinters primarily in fallen leaves and in the soil. Disease development is favored by wet, cool weather that generally occurs in spring and early summer.

        <br/> 2. Fungal spores are carried by wind, rain or splashing water from the ground to flowers, leaves or fruit. During damp or rainy periods, newly opening apple leaves are extremely susceptible to infection. The longer the leaves remain wet, the more severe the infection will be. Apple scab spreads rapidly between 55-75 degrees Fahrenheit.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Choose resistant varieties when possible.

        <br/>2. Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring
        
        <br/>3. Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
        <br/>4. Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.",True,train
Cotton___Wilt,Cotton,Wilt,"<b>Crop</b>: Cotton <br/><b>Disease</b>: Fusarium / Verticillium Wilt<br/><br/>
    <b>Symptoms</b>: Yellowing and drooping of lower leaves progressing upward, brown vascular discolouration inside the stem when cut, plant death in patches.<br/><br/>
    <b>Management</b>:<br/>1. Grow resistant varieties.<br/>2. Long crop rotation with cereals (3-4 years).<br/>3. Soil application of Trichoderma viride 2.5 kg/ha with FYM.<br/>4. Balanced potash improves tolerance.<br/>5. Avoid waterlogging.",False,train
Blueberry___healthy,Blueberry,healthy," <b>Crop</b>: Blueberry <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Banana___Bunchy_top,Banana,Bunchy top,"<b>Crop</b>: Banana <br/><b>Disease</b>: Bunchy Top Virus (aphid transmitted)<br/><br/>
    <b>Symptoms</b>: Severely stunted plant with narrow, upright, bunched leaves at the top; dark green 'Morse code' streaks on the midrib and petiole. Infected plants rarely bear fruit.<br/><br/>
    <b>Management</b>:<br/>1. Use only certified virus-free tissue-culture planting material.<br/>2. Uproot and destroy infected plants immediately including the corm.<br/>3. Control banana aphid (Pentalonia nigronervosa) with Imidacloprid 0.3 ml/L before removing plants.<br/>4. Do not take suckers from infected gardens.",False,train
Peach___healthy,Peach,healthy," <b>Crop</b>: Peach <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Grape___Black_rot,Grape,Black rot," <b>Crop</b>: Grape <br/>Disease: Black Rot<br/>
        <br/> Cause of disease:

        <br/><br/> 1. The black rot fungus overwinters in canes, tendrils, and leaves on the grape vine and on the ground. Mummified berries on the ground or those that are still clinging to the vines become the major infection source the following spring.

        <br/> 2. During rain, microscopic spores (ascospores) are shot out of numerous, black fruiting bodies (perithecia) and are carried by air currents to young, expanding leaves. In the presence of moisture, these spores germinate in 36 to 48 hours and eventually penetrate the leaves and fruit stems. 

        <br/> 3. The infection becomes visible after 8 to 25 days. When the weather is wet, spores can be released the entire spring and summer providing continuous infection.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Space vines properly and choose a planting site where the vines will be exposed to full sun and good air circulation. Keep the vines off the ground and insure they are properly tied, limiting the amount of time the vines remain wet thus reducing infection.

        <br/>2. Keep the fruit planting and surrounding areas free of weeds and tall grass. This practice will promote lower relative humidity and rapid drying of vines and thereby limit fungal infection.
        
        <br/>3. Use protective fungicide sprays. Pesticides registered to protect the developing new growth include copper, captan, ferbam, mancozeb, maneb, triadimefon, and ziram. Important spraying times are as new shoots are 2 to 4 inches long, and again when they are 10 to 15 inches long, just before bloom, just after bloom, and when the fruit has set.",True,train
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot," <b>Crop</b>: Tomato <br/>Disease: Leaf Spot<br/>
        <br/> Cause of disease:

        <br/><br/> Septoria leaf spot is caused by a fungus, Septoria lycopersici. It is one of the most destructive diseases of tomato foliage and is particularly severe in areas where wet, humid weather persists for extended periods.

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Remove diseased leaves.

        <br/>2. Improve air circulation around the plants.
        
        <br/>3. Mulch around the base of the plants
        <br/>4. Do not use overhead watering.
        <br/>5. Use fungicidal sprayes.",True,train
Wheat___Loose_smut,Wheat,Loose smut,"<b>Crop</b>: Wheat <br/><b>Disease</b>: Loose Smut (Ustilago tritici)<br/><br/>
    <b>Symptoms</b>: Entire earhead converted into a black powdery mass of spores; only the bare rachis remains after spores blow away.<br/><br/>
    <b>Management</b>: This is seed-borne — control starts with seed.<br/>1. Use certified disease-free seed.<br/>2. Seed treatment with Carboxin 2 g/kg or Tebuconazole 1 g/kg.<br/>3. Solar heat treatment: soak seed 4 hours, dry in hot sun.<br/>4. Rogue out and burn infected earheads before spores spread.",False,train
Grape___Esca_(Black_Measles),Grape,Esca (Black Measles)," <b>Crop</b>: Grape <br/>Disease: Black Measles<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Black Measles is caused by a complex of fungi that includes several species of Phaeoacremonium, primarily by P. aleophilum (currently known by the name of its sexual stage, Togninia minima), and by Phaeomoniella chlamydospora.

        <br/> 2. The overwintering structures that produce spores (perithecia or pycnidia, depending on the pathogen) are embedded in diseased woody parts of vines. The overwintering structures that produce spores (perithecia or pycnidia, depending on the pathogen) are embedded in diseased woody parts of vines.

        <br/> 3. During fall to spring rainfall, spores are released and wounds made by dormant pruning provide infection sites.

        <br/> 4. Wounds may remain susceptible to infection for several weeks after pruning with susceptibility declining over time.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Post-infection practices (sanitation and vine surgery) for use in diseased, mature vineyards are not as effective and are far more costly than adopting preventative practices (delayed pruning, double pruning, and applications of pruning-wound protectants) in young vineyards. 


        <br/>2. Sanitation and vine surgery may help maintain yields. In spring, look for dead spurs or for stunted shoots. Later in summer, when there is a reduced chance of rainfall, practice good sanitation by cutting off these cankered portions of the vine beyond the canker, to where wood appears healthy. Then remove diseased, woody debris from the vineyard and destroy it.
        
        <br/>3. The fungicides labeled as pruning-wound protectants, consider using alternative materials, such as a wound sealant with 5 percent boric acid in acrylic paint (Tech-Gro B-Lock), which is effective against Eutypa dieback and Esca, or an essential oil (Safecoat VitiSeal).",True,train
