topic,question_keywords,answer,split
mango,mango,"Mango: plant grafts 10x10m, no irrigation during flowering (Dec-Feb). Spray 2% KNO3 to induce flowering. Bag fruits against fruit fly.",train
seed+sowing+variety,"seed, sowing, variety, plant, germination",Seed tips: Always use certified seed. Treat seed with Trichoderma or Carbendazim (2g/kg) before sowing to prevent soil-borne diseases. Sow at recommended spacing and depth (generally 2-3x seed diameter). Check the Crops library in this app for crop-specific guidance.,train
tomato,tomato,"Tomato: 20-27°C, well-drained loam, pH 6-7. Transplant at 60x45cm, stake plants, avoid overhead watering (blight risk). Calcium prevents blossom-end rot.",train
scheme+subsidy+government,"scheme, subsidy, government, pm-kisan, yojana","Key schemes: PM-KISAN (₹6,000/year), PMFBY crop insurance, KCC loans, PMKSY irrigation subsidy, Soil Health Card, PM-KUSUM solar subsidy. See the Government Schemes page in this app for all 14 schemes with eligibility and apply links.",train
community+ask farmers+post question,"community, ask farmers, post question","Community: tap the Community tab, press 'Ask Community', choose your crop, add a photo and your question. Other farmers can answer, like and share. Use the Translate button on any post to read it in your language.",train
loan+credit+kcc,"loan, credit, kcc, borrow, money","Available farm loans:
1. Kisan Credit Card (KCC) — crop loans up to ₹3 lakh at 7% interest (4% with prompt repayment). Apply at any bank.
2. Agriculture Term Loan — for tractors, pumps, land development; 9-12% interest, 5-15 year terms.
3. Agriculture Gold Loan — instant loan against gold, ~7-8.5% interest.
4. PM-KUSUM — subsidized loan for solar pumps (30% subsidy + 30% loan).
5. Dairy Entrepreneurship Loan (NABARD) — 25-33% back-ended subsidy.
6. Agriculture Infrastructure Fund — 3% interest subvention for warehouses, cold storage.
See the Loans tab in Government Schemes for full details.",train
onion,onion,"Onion: cool season 13-24°C, transplant 45-day seedlings at 15x10cm. Light frequent irrigation. Stop water when 50% tops fall. Purple blotch is main disease.",train
potato,potato,"Potato: cool crop 15-25°C, plant Oct-Nov, certified tubers at 60x20cm. Earth up at 25-30 days. Late blight is the main threat — spray Mancozeb preventively.",train
pest+insect+bug,"pest, insect, bug, caterpillar, aphid, borer, worm","Pest control: Start with neem oil (5ml/L) — safe and organic. Use yellow sticky traps for whiteflies/aphids, pheromone traps for borers. Chemical option: Imidacloprid 0.5ml/L for sucking pests, Chlorpyrifos 2ml/L for soil pests. Always spray in the evening and wear protective gear.",train
apply+application+how to apply,"apply, application, how to apply, document, form, papers, process","How to apply for a scheme or loan: 1) Open Government Schemes in this app, pick the scheme/loan. 2) Tap 'Generate Document' — fill your name, Aadhaar, bank details and it creates a ready application form you can print. 3) Attach: Aadhaar copy, land records (RTC/Pahani), bank passbook copy, passport photo. 4) Submit at your bank branch (for loans/KCC) or Common Service Centre / Raitha Samparka Kendra (for schemes). 5) For PM-KISAN you can also self-register at pmkisan.gov.in. Track status with your Aadhaar number. Ask me about any specific scheme and I will guide you step by step!",train
